st_rotperr1,st_rotperr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.787,,,6.165,,,,,,,,,,,,6.095,,
92.4,-92.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14.432,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,13.42,0.03,,,,
,,21.474,0.138038,-0.138038,18.7211,0.0082138,-0.0082138,17.1968,0.0055162,-0.0055162,14.9773,0.0047109,-0.0047109,13.7544,0.0045211,-0.0045211,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.964,,,12.363,,,12.724,,,13.043,,,,,,12.264,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.1,0.2,,11.91,0.03,,11.32,0.08,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.889,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.05,-0.05,,,,,,,,,,,,,,,,,,,,,
0.05,-0.05,,,,,,,,,,,,,,,,,,,,,
0.05,-0.05,,,,,,,,,,,,,,,,,,,,,
0.05,-0.05,,,,,,,,,,,,,,,,,,,,,
0.05,-0.05,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.97,,,,,
,,,,,,,,,,,,,,,,,3.97,,,,,
,,,,,,,,,,,,,,,,,3.97,,,,,
,,,,,,,,,,,,,,,,,2.935,,,,,
,,,,,,,,,,,,,,,,,2.935,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.175,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.01,-0.01,,,,,,,,,,,,,,,,,,,,,
