pl_name,ra,dec,pl_orbincl,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_orblper,pl_orbper,pl_Omega,vx,vy,vz,x,y,z
14_Her_b,242.6021014,43.8163621,144.652,2559.47216,2.774,0.373,23.043,1765.0389,286.6919020651586,-4.64113,0.88954,2.97201,-0.07219,-1.69258,0.39387
51_Eri_b,69.4007424,-2.4738245,133.0,635.66,13.2,0.45,87.0,11688.0,105.37023018744026,0.83989,-2.67728,0.10748,4.66696,1.67694,5.30235
51_Peg_b,344.3675399,20.7690958,80.0,146.2018,0.0527,0.013,58.0,4.230785,195.86156721155342,23.31683,3.97254,14.47044,-0.02442,-0.0149,0.04344
55_Cnc_b,133.1468373,28.3298154,89.73,263.9785,0.1134,0.0,-21.5,14.6516,46.85348012203582,4.6168,5.04523,17.35987,0.0723,0.07685,-0.04156
55_Cnc_c,133.1468373,28.3298154,89.73,54.4738,0.2373,0.03,2.4,44.3989,46.85348012203582,-0.42628,-0.36329,13.27938,0.15724,0.16783,0.00964
55_Cnc_d,133.1468373,28.3298154,89.73,1232.493,5.957,0.13,-69.1,5574.2,46.85348012203582,1.87079,2.00313,1.04662,1.281,1.33331,-4.84155
55_Cnc_e,133.1468373,28.3298154,83.59,7.99,0.01544,0.05,86.0,0.7365474,47.032405338212584,-36.44806,-38.52269,3.68511,-0.0005,0.00186,0.01454
55_Cnc_f,133.1468373,28.3298154,89.73,44.812,0.7708,0.08,-97.6,259.88,46.85348012203582,5.25966,5.60439,-1.02551,-0.06172,-0.07069,-0.7029
7_CMa_b,99.171276,-19.2561808,90.0,587.9855,1.758,0.06,165.3,735.1,80.82872400000001,-0.20353,-1.26064,-4.8675,-0.25477,-1.578,0.41934
7_CMa_c,99.171276,-19.2561808,90.0,276.5121,2.153,0.08,233.5,996.0,80.82872400000001,0.59444,3.68186,-2.75971,-0.18779,-1.16314,-1.59225
AF_Lep_b,81.7699216,-11.9011752,50.0,1017.0509,8.4,0.24,210.0,8030.0,96.32253905889175,1.37964,1.5459,-1.83708,2.64815,-5.26913,-2.44521
AU_Mic_b,311.2911369,-31.34245,89.5,20.12,0.0645,0.186,88.528,8.4629991,228.70994481298268,19.70411,22.42643,0.7671,-0.00055,-0.00132,0.05248
AU_Mic_c,311.2911369,-31.34245,89.227,9.6,0.1101,0.00338,223.2844,18.858991,228.7114485562895,-8.73596,-9.66516,-13.82999,0.05194,0.06069,-0.07522
BD_45_564_b,32.9470485,45.9242187,2.579,432.24663,0.83,0.12,70.31,307.88,93.97164112980522,-2.10516,-7.48938,0.11796,-0.70239,0.19792,0.03094
BD_55_362_b,23.9636676,56.6982282,0.601,228.83645,0.78,0.27,-134.44,265.59,91.35189931989056,6.40984,6.85293,-0.06892,0.41581,-0.38897,-0.00426
BD_63_1405_b,271.3979337,63.6700064,5.974,3305.41543,2.06,0.88,94.25,1198.48,269.85447847661084,-1.23325,17.28299,-0.13365,0.24523,0.0177,0.02566
BD_00_4475_b,347.7108441,0.4085612,13.31,7961.6016,1.48,0.39,-97.55,723.2,223.4169655629822,-6.29909,-4.58791,-0.23583,-0.51243,0.71415,-0.20604
BD_14_3065_b,153.6696689,-15.6428372,80.78,3932.0,0.0656,0.066,54.0,4.2889731,26.62768042150293,-20.06011,-7.29641,15.20563,0.02863,0.02324,0.04893
BD_210397_c,33.3024198,-21.1962147,33.0,1525.57635,5.9,0.43,174.0,6240.0,129.6606801677214,2.90415,1.85139,-2.21926,1.90768,-2.76295,0.19146
CoRoT_10_b,291.0636813,0.7460143,88.55,874.0,0.1055,0.53,218.9,13.2406,248.94247229405084,-8.51638,-20.20659,-27.15355,0.01313,0.0363,-0.03113
CoRoT_12_b,100.7656871,-1.2964437,85.48,291.438,0.04016,0.07,105.0,2.828042,79.2670164391056,-5.37572,-32.04403,-8.67714,-0.00459,-0.00897,0.03596
CoRoT_16_b,278.5246658,-6.0026026,85.01,170.032,0.0618,0.33,168.41,5.35227,261.5071715261325,-1.94442,7.524,-34.75188,0.00671,0.04001,0.00829
CoRoT_17_b,278.699236,-6.612288,88.34,772.29,0.0461,0.0,0.0,3.7681,261.3043590159081,0.83798,-0.12816,29.25143,-0.00697,-0.04557,0.0
CoRoT_2_b,291.7770457,1.3836634,88.08,1102.82,0.02798,0.0143,102.0,1.7429935,248.23403728125948,13.57419,34.71225,-7.91775,0.00297,0.00499,0.02696
CoRoT_20_b,97.7204249,0.2268931,88.21,1366.669,0.09,0.59,60.1,9.24285,82.28329705238804,-5.43736,-35.34463,20.54981,0.00148,0.01836,0.03197
CoRoT_22_b,280.6671392,6.2191669,89.749,12.2,0.092,0.077,210.0,9.75598,259.33296080856405,-2.15439,-10.97922,-19.37847,0.01343,0.0723,-0.04246
CoRoT_23_b,279.7826586,4.3577516,85.7,889.9,0.048,0.16,52.0,3.6313,260.24434841179914,6.03323,25.90946,20.69028,-0.00186,-0.02487,0.03168
CoRoT_28_b,278.6883216,5.5736911,88.1,153.82972,0.0603,0.047,126.0,5.20851,261.3163822700752,2.75915,21.5275,-15.75535,0.00662,0.03316,0.04647
CoRoT_29_b,278.9020691,6.4795703,87.3,270.1555,0.0386,0.082,87.0,2.85057,261.1076552936048,5.44416,34.24235,1.81508,0.00136,-0.00209,0.03535
CoRoT_30_b,277.6011767,6.8359338,90.0,921.707,0.0844,0.007,178.1,9.06005,262.3988233,0.09552,0.71576,-21.76757,0.01108,0.08303,0.00278
CoRoT_31_b,94.820735,-4.4222978,83.2,266.9772,0.0586,0.02,303.6,4.62941,85.21301827796277,0.11157,22.12362,14.55073,0.0083,0.0312,-0.0475
CoRoT_5_b,101.2772396,0.8152163,85.83,148.42,0.04947,0.09,-128.34,4.0378962,78.75185262695067,6.09795,23.51195,-19.12805,-0.00293,-0.02789,-0.03522
