pl_name,sy_snum,sy_pnum,sy_mnum,cb_flag,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_angsep,pl_angseplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_radv,st_radverr1,st_radverr2,st_radvlim,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_rmag,sy_rmagerr1,sy_imag,sy_imagerr1,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_Omega,ra_deg,cluster,is_centroid,vx,vy,vz,x,y,z
14 Her b,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0.0,155.0,0,12.6,nan,-0.3065,0,1.12,0.028,nan,0.0,2559.47216,518.69596,-280.64248,0,8.053,1.632,-0.883,0.0,7.03,0.18,nan,0.0,0.373,0.008,-0.006,0.0,308.21000000000004,nan,nan,nan,nan,nan,144.652,6.279,-3.241,0,2456834.4,1.7,-1.9,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2449614.563,5.447,-6.281,0,23.043,1.183,-1.105,0,89.582,0.963,-0.822,0.0,5338.0,25,-25.0,0,0.93,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,-0.153,0.012,-0.01,0.0,4.45,0.02,-0.02,0.0,3.9,1.1,-1.1,0.0,1.27393,0.34953,-0.30728,0.0,1.0,0.5,-0.5,1.0,-13.82,0.0,0.0,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.24717,324.5303062,0.0424169,-0.0424169,132.019,0.0385189,-0.0385189,-296.464,0.0431481,-0.0431481,17.9323,0.0073,-0.0073,55.7363,0.022596,-0.022596,7.495,0.02,-0.02,6.61935,0.023,-0.023,5.158,0.029,-0.029,4.803,0.016,-0.016,4.714,0.016,-0.016,13.0135,0.01,12.82,0.01696405,4.676,0.173,-0.026,4.543,0.086,-0.022,4.721,0.014,-0.02,4.674,0.066,-0.066,6.383,0.0003512,-0.0003512,5.8631,0.006,-0.006,0.0,1.0,4.0,1.0,0.0,0.0,0.0,286.6919020651586,242.60208333333335,6,False,-4.64113173818135,0.8895423197190808,2.9720080275421505,-0.07218752962729531,-1.6925757360573903,0.39387037344803166
51 Eri b,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,11688.0,6209.25,-3287.25,0,13.2,0.2,-0.2,0.0,444.0,0,13.4,nan,-0.3065,0,1.19,0.028,nan,0.0,635.66,nan,nan,0,2,0.12,nan,0.0,1.45,0.18,nan,0.0,0.45,0.1,-0.15,0.0,308.21000000000004,nan,700,nan,nan,0,133.0,14,-7,0,nan,nan,-0.0007,nan,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2455563.0,5844,-1826.0,0,87.0,34,-30.0,0,nan,2.4,nan,0.0,7295.0,120.09,-98.99,0,1.49,0.05,-0.06,0.0,1.75,0.05,-0.05,0.0,-0.027,0.045,-0.045,0.0,0.85,0.06,-0.06,0.0,4.31,0.09,-0.07,0.0,0.02,0.006,-0.006,0.0,0.70712,0.15974,-0.13468,0.0,65.19,0.14,-0.17,0.0,17.3,3.0,-3.0,0.0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,0.1954289,-0.1954289,44.3523,0.227124,-0.227124,-63.8329,0.17812,-0.17812,29.7575,0.1213,-0.1203,33.577,0.135431,-0.135431,5.486,0.023,-0.023,5.21149,0.023,-0.023,4.744,0.037,-0.037,4.77,0.076,-0.076,4.537,0.024,-0.024,13.0135,0.01,12.82,0.01696405,4.543,0.21,-0.21,4.31,0.117,-0.117,4.575,0.018,-0.018,4.39,0.023,-0.023,5.15806,0.0023075,-0.0023075,4.9574,0.0065,-0.0065,5.0,1.0,0.0,0.0,0.0,0.0,6.0,105.37023018744026,69.40075,5,False,0.8398931742165868,-2.677281394828531,0.10747889348463413,4.666962905410679,1.6769403240614866,5.30235121328805
51 Peg b,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.230785,0.000036,-3.6e-05,0,0.0527,0.003,-0.003,0.0,3.41,0,14.3,nan,-0.3065,0,1.27,0.028,nan,0.0,146.2018,19.0698,-3.1783,0,0.46,0.06,-0.01,0.0,0.275,0.18,nan,0.0,0.013,0.012,-0.012,0.0,308.21000000000004,nan,nan,nan,nan,nan,80.0,10,-19,0,2455705.001,0.006,-0.006,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2450001.51,0.61,-0.61,0,58.0,nan,-20.465,0,55.94,0.69,-0.69,0.0,5758.0,101.62,-119.62,0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,0.136,0.007,-0.015,0.0,4.31,0.08,-0.06,0.0,10.0,1.1,-1.1,0.0,0.89374,0.19619,-0.15014,0.0,2.2,1.0,-1.0,0.0,-33.25,0.0,0.0,0.0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,-34.7275,90.06374,25.18633,354.28512,216.4603396,0.2040787,-0.2040787,207.363,0.207151,-0.207151,62.094,0.166006,-0.166006,15.4614,0.0297,-0.0297,64.6488,0.123201,-0.123201,6.104,0.02,-0.02,5.45309,0.023,-0.023,4.655,0.296,-0.296,4.234,0.27,-0.27,3.911,0.021,-0.021,13.0135,0.01,12.82,0.01696405,3.909,0.387,-0.387,3.624,0.246,-0.246,3.929,0.016,-0.016,3.904,0.024,-0.024,5.28647,0.002768,-0.002768,4.8576,0.0069,-0.0069,1.0,1.0,5.0,4.0,0.0,0.0,0.0,195.86156721155342,344.3675416666666,1,False,23.316834459955825,3.972543619861771,14.47044456502021,-0.02442066990927091,-0.014901715444026272,0.043440989629815054
55 Cnc b,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0.0,9.01,0,13.9,nan,-0.3065,0,1.24,0.028,nan,0.0,263.9785,1.0488,-1.0488,0,0.8306,0.0033,-0.0033,0.0,0.54,0.18,nan,0.0,0.0,0.01,-0.01,0.0,308.21000000000004,nan,700,nan,nan,0,89.73,24.49,-24.54,0,2455803.293,0.014,-0.014,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2453021.08,0.01,-0.01,0,-21.5,56.9,-89.8,0,71.37,0.21,-0.21,0.0,5172.0,18,-18.0,0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,-0.197,0.012,-0.01,0.0,4.43,0.02,-0.02,0.0,5.5,2.5,-2.5,0.0,1.41851,0.53787,-0.21745,0.0,1.23,0.01,-0.01,1.0,27.25,0.01,-0.01,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,13.0135,0.01,12.82,0.01696405,4.001,0.318,-0.026,3.296,0.174,-0.022,4.051,0.015,-0.02,4.014,0.066,-0.066,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,4.0,1.0,9.0,11.0,0.0,0.0,0.0,46.85348012203582,133.14683333333332,1,False,4.616803200402935,5.045225652818057,17.359868097507206,0.07229719436797064,0.07684645371207977,-0.041560777644277284
55 Cnc c,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0.0,18.9,0,8.51,nan,-0.3065,0,0.76,0.028,nan,0.0,54.4738,1.748,-1.748,0,0.1714,0.0055,-0.0055,0.0,0.486,0.18,nan,0.0,0.03,0.02,-0.02,0.0,308.21000000000004,nan,nan,nan,nan,nan,89.73,24.49,-24.54,0,2455846.83,0.43,-0.48,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2453028.63,0.25,-0.25,0,2.4,43.1,-49.2,0,9.89,0.22,-0.22,0.0,5172.0,18,-18.0,0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,-0.197,0.012,-0.01,0.0,4.43,0.02,-0.02,0.0,10.2,2.5,-2.5,0.0,1.41851,0.53787,-0.21745,0.0,1.23,0.01,-0.01,1.0,27.41,0.0,0.0,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,13.0135,0.01,12.82,0.01696405,4.001,0.318,-0.026,3.296,0.174,-0.022,4.051,0.015,-0.02,4.014,0.066,-0.066,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,4.0,1.0,9.0,11.0,0.0,0.0,0.0,46.85348012203582,133.14683333333332,1,False,-0.4262817924459894,-0.36328767074983714,13.27938019448204,0.15724182992487776,0.16782548022724797,0.009638872826706248
55 Cnc d,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0.0,473.0,0,13.0,nan,-0.3065,0,1.16,0.028,nan,0.0,1232.493,21.612,-21.612,0,3.878,0.068,-0.068,0.0,3.08,0.18,nan,0.0,0.13,0.02,-0.02,0.0,308.21000000000004,nan,nan,nan,nan,nan,89.73,24.49,-24.54,0,2455790,120,-91.0,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2452837.69,68.87,-68.87,0,-69.1,9.1,-7.9,0,38.6,1.3,-1.4,0.0,5172.0,18,-18.0,0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,-0.197,0.012,-0.01,0.0,4.43,0.02,-0.02,0.0,5.5,2.5,-2.5,0.0,1.41851,0.53787,-0.21745,0.0,1.23,0.01,-0.01,1.0,27.25,0.01,-0.01,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,13.0135,0.01,12.82,0.01696405,4.001,0.318,-0.026,3.296,0.174,-0.022,4.051,0.015,-0.02,4.014,0.066,-0.066,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,4.0,1.0,9.0,11.0,0.0,0.0,0.0,46.85348012203582,133.14683333333332,1,False,1.8707867566342251,2.00312776873299,1.0466228545545029,1.2809967833414733,1.3333147699392713,-4.841545008923348
55 Cnc e,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0.7365474,0.0000013,-1.4e-06,0,0.01544,5e-05,-0.00005,0.0,1.23,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0.0,7.99,0.32,-0.33,0,0.02514,0.00101,-0.00104,0.0,6.66,0.43,-0.4,0.0,0.05,0.03,-0.03,0.0,2657.83,0,1958,15,-15,0,83.59,0.47,-0.44,0,2457063.21,0.0006,-0.0004,0,0.0,0.39,0.03,-0.03,0.0,0.0375,0.000494,-0.000494,0,1.555016,0.0273325,-0.0273325,0.0,10.239999999999998,nan,nan,nan,0.0182,0.0002,-0.0002,0,2447578.216,0.0001,-0.0001,0,86.0,30.7,-33.4,0,6.02,0.24,-0.23,0.0,5172.0,18,-18.0,0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,-0.197,0.012,-0.01,0.0,4.43,0.02,-0.02,0.0,10.2,2.5,-2.5,0.0,1.5212,0.00705,-0.00705,0.0,1.23,0.01,-0.01,1.0,27.41,0.0,0.0,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,13.0135,0.01,12.82,0.01696405,4.001,0.318,-0.026,3.296,0.174,-0.022,4.051,0.015,-0.02,4.014,0.066,-0.066,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,6.0,1.0,9.0,11.0,4.0,4.0,0.0,47.032405338212584,133.14683333333332,1,False,-36.448058619561394,-38.5226933859858,3.6851065512670633,-0.0004979665057785925,0.0018621307445267732,0.014540795110633078
55 Cnc f,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0.0,61.2,0,7.59,nan,-0.3065,0,0.677,0.028,nan,0.0,44.812,3.814,-3.814,0,0.141,0.012,-0.012,0.0,0.563,0.18,nan,0.0,0.08,0.05,-0.04,0.0,308.21000000000004,nan,nan,nan,nan,nan,89.73,24.49,-24.54,0,2456020.7,5.2,-6.1,0,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2447488.0,1.1,-1.1,0,-97.6,37,-51.3,0,5.14,0.26,-0.25,0.0,5172.0,18,-18.0,0,0.94,0.01,-0.01,0.0,0.91,0.02,-0.02,0.0,0.35,0.1,-0.1,0.0,-0.197,0.012,-0.01,0.0,4.43,0.02,-0.02,0.0,10.2,2.5,-2.5,0.0,1.41851,0.53787,-0.21745,0.0,1.23,0.01,-0.01,1.0,27.41,0.0,0.0,0.0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,0.1295797,-0.1295797,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.0124,-0.0123,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,13.0135,0.01,12.82,0.01696405,4.001,0.318,-0.026,3.296,0.174,-0.022,4.051,0.015,-0.02,4.014,0.066,-0.066,5.72973,0.0008523,-0.0008523,5.2058,0.0061,-0.0061,4.0,1.0,9.0,11.0,0.0,0.0,0.0,46.85348012203582,133.14683333333332,1,False,5.259658831924583,5.60438818410699,-1.0255074563402151,-0.061721581734120526,-0.07069344667212552,-0.7028988187796686
7 CMa b,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,735.1,14.8,-1.0,0,1.758,0.024,-0.001,0.0,88.7,0,13.4,nan,-0.3065,0,1.2,0.028,nan,0.0,587.9855,19.0698,-19.0698,0,1.85,0.06,-0.06,0.0,1.34,0.18,nan,0.0,0.06,0.03,-0.03,0.0,308.21000000000004,nan,nan,nan,nan,nan,90.0,nan,nan,0,nan,nan,-0.0007,nan,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2454093.0,34,-34.0,0,165.3,5.1,-70.8,0,34.3,1.2,-0.9,0.0,4826.0,45,-55.0,0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,1.063,0.012,-0.008,0.0,3.19,0.06,-0.07,0.0,4.3,0.9,-1.3,0.0,1.178915,0.16,-0.15,0.0,1.15,0.5,-0.5,0.0,2.35,0.03,-0.02,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,95.6229309,0.5996784,-0.5996784,61.9916,0.606915,-0.606915,-72.8065,0.594377,-0.594377,19.8101,0.1648,-0.1648,50.4571,0.416775,-0.416775,5.013,0.017,-0.017,3.95,0.03,-0.03,2.173,0.244,-0.244,1.679,0.234,-0.234,1.564,0.252,-0.252,13.0135,0.01,12.82,0.01696405,-0.682,0.029,-0.026,-0.525,0.022,-0.022,1.653,0.014,-0.014,1.541,0.015,-0.015,3.67853,0.0041348,-0.0041348,3.0677,1.8692,-1.8692,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.82872400000001,99.17129166666666,1,False,-0.20353075498890283,-1.2606409241416723,-4.867502106312155,-0.2547677141669844,-1.5779954564922605,0.41934007858528244
7 CMa c,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,996.0,1.5,-52.4,0,2.153,0.003,-0.08,0.0,109.0,0,13.9,nan,-0.3065,0,1.24,0.028,nan,0.0,276.5121,19.0698,-19.0698,0,0.87,0.06,-0.06,0.0,0.566,0.18,nan,0.0,0.08,0.05,-0.04,0.0,308.21000000000004,nan,nan,nan,nan,nan,90.0,nan,nan,0,nan,nan,-0.0007,nan,0.0,nan,0.07,nan,0.0,0.6465000000000001,nan,-0.0067,nan,nan,nan,nan,0.0,10.239999999999998,nan,nan,nan,nan,nan,nan,nan,2453432.026,nan,-24.6355,nan,233.5,7.7,-40.2,0,14.9,0.9,-1.1,0.0,4826.0,45,-55.0,0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,0.21,0.1,-0.1,0.0,1.063,0.012,-0.008,0.0,3.19,0.06,-0.07,0.0,4.3,0.9,-1.3,0.0,1.178915,0.16,-0.15,0.0,1.15,0.5,-0.5,0.0,2.35,0.03,-0.02,0.0,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,-11.79597,228.68876,-42.32234,101.73845,95.6229309,0.5996784,-0.5996784,61.9916,0.606915,-0.606915,-72.8065,0.594377,-0.594377,19.8101,0.1648,-0.1648,50.4571,0.416775,-0.416775,5.013,0.017,-0.017,3.95,0.03,-0.03,2.173,0.244,-0.244,1.679,0.234,-0.234,1.564,0.252,-0.252,13.0135,0.01,12.82,0.01696405,-0.682,0.029,-0.026,-0.525,0.022,-0.022,1.653,0.014,-0.014,1.541,0.015,-0.015,3.67853,0.0041348,-0.0041348,3.0677,1.8692,-1.8692,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.82872400000001,99.17129166666666,1,False,0.5944365391763272,3.6818564748687725,-2.7597097939033595,-0.18778911332728773,-1.1631394055486337,-1.5922475152361588
