pl_name,mass,vx,vy,vz,x,y,z,Cluster,centroid_mass,centroid_x,centroid_y,centroid_z
14_Her_b,2559.47216,-4.64113,0.88954,2.97201,-0.07219,-1.69258,0.39387,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
51_Eri_b,635.66,0.83989,-2.67728,0.10748,4.66696,1.67694,5.30235,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
51_Peg_b,146.2018,23.31683,3.97254,14.47044,-0.02442,-0.0149,0.04344,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
55_Cnc_b,263.9785,4.6168,5.04523,17.35987,0.0723,0.07685,-0.04156,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
55_Cnc_c,54.4738,-0.42628,-0.36329,13.27938,0.15724,0.16783,0.00964,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
55_Cnc_d,1232.493,1.87079,2.00313,1.04662,1.281,1.33331,-4.84155,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
55_Cnc_e,7.99,-36.44806,-38.52269,3.68511,-0.0005,0.00186,0.01454,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
55_Cnc_f,44.812,5.25966,5.60439,-1.02551,-0.06172,-0.07069,-0.7029,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
7_CMa_b,587.9855,-0.20353,-1.26064,-4.8675,-0.25477,-1.578,0.41934,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
7_CMa_c,276.5121,0.59444,3.68186,-2.75971,-0.18779,-1.16314,-1.59225,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
AF_Lep_b,1017.0509,1.37964,1.5459,-1.83708,2.64815,-5.26913,-2.44521,0,9333.03117,-5.00373,6.4406,-8.27413
AU_Mic_b,20.12,19.70411,22.42643,0.7671,-0.00055,-0.00132,0.05248,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
AU_Mic_c,9.6,-8.73596,-9.66516,-13.82999,0.05194,0.06069,-0.07522,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
BD_45_564_b,432.24663,-2.10516,-7.48938,0.11796,-0.70239,0.19792,0.03094,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
BD_55_362_b,228.83645,6.40984,6.85293,-0.06892,0.41581,-0.38897,-0.00426,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
BD_63_1405_b,3305.41543,-1.23325,17.28299,-0.13365,0.24523,0.0177,0.02566,0,9333.03117,-5.00373,6.4406,-8.27413
BD_00_4475_b,7961.6016,-6.29909,-4.58791,-0.23583,-0.51243,0.71415,-0.20604,0,9333.03117,-5.00373,6.4406,-8.27413
BD_14_3065_b,3932.0,-20.06011,-7.29641,15.20563,0.02863,0.02324,0.04893,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
BD_210397_c,1525.57635,2.90415,1.85139,-2.21926,1.90768,-2.76295,0.19146,0,9333.03117,-5.00373,6.4406,-8.27413
CoRoT_10_b,874.0,-8.51638,-20.20659,-27.15355,0.01313,0.0363,-0.03113,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
CoRoT_12_b,291.438,-5.37572,-32.04403,-8.67714,-0.00459,-0.00897,0.03596,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
CoRoT_16_b,170.032,-1.94442,7.524,-34.75188,0.00671,0.04001,0.00829,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_17_b,772.29,0.83798,-0.12816,29.25143,-0.00697,-0.04557,0.0,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_2_b,1102.82,13.57419,34.71225,-7.91775,0.00297,0.00499,0.02696,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_20_b,1366.669,-5.43736,-35.34463,20.54981,0.00148,0.01836,0.03197,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
CoRoT_22_b,12.2,-2.15439,-10.97922,-19.37847,0.01343,0.0723,-0.04246,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_23_b,889.9,6.03323,25.90946,20.69028,-0.00186,-0.02487,0.03168,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_28_b,153.82972,2.75915,21.5275,-15.75535,0.00662,0.03316,0.04647,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_29_b,270.1555,5.44416,34.24235,1.81508,0.00136,-0.00209,0.03535,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_30_b,921.707,0.09552,0.71576,-21.76757,0.01108,0.08303,0.00278,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_31_b,266.9772,0.11157,22.12362,14.55073,0.0083,0.0312,-0.0475,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
CoRoT_5_b,148.42,6.09795,23.51195,-19.12805,-0.00293,-0.02789,-0.03522,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
CoRoT_7_b,4.07661,4.55809,-17.64028,-44.58835,-0.00398,-0.01552,0.00573,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
CoRoT_7_c,8.4,4.99711,-0.95268,-28.85044,-0.00861,-0.04519,0.0,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
CoRoT_9_b,266.9772,1.40543,7.29714,8.54865,-0.04885,-0.25853,0.22872,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
DENIS_P_J082303.1_491201_b,9057.77,-10.28332,-4.18299,10.09655,0.03207,0.20246,0.11654,0,9333.03117,-5.00373,6.4406,-8.27413
EPIC_211822797_b,4.35,-0.06926,0.05896,19.30101,0.07282,0.08553,0.0,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
EPIC_211945201_b,27.0,-11.80612,-11.18208,0.0,-0.00376,0.00397,0.1492,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
EPIC_220674823_c,8.9,0.79552,0.06843,-21.74466,0.09171,-0.02135,0.00329,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
EPIC_249893012_b,8.75,13.37925,-17.22615,-21.71294,-0.02235,0.02193,-0.03117,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
EPIC_249893012_c,14.67,7.08775,-8.75193,-14.91854,-0.06623,0.07031,-0.07271,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
EPIC_249893012_d,10.18,0.07357,-0.29884,-15.57841,-0.12452,0.13947,-0.00326,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
G_9_40_b,11.7,-0.56792,0.5622,32.0121,0.02709,0.02736,0.0,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
