clusture_0,clusture_1,clusture_2,clusture_3,clusture_4,clusture_5,clusture_6,clusture_7,clusture_8,clusture_9,clusture_10,clusture_11,clusture_12,clusture_13,clusture_14,clusture_15,clusture_18,clusture_19,clusture_20,clusture_21,clusture_22,clusture_23,clusture_25,clusture_26,clusture_27,clusture_28,clusture_29,clusture_30,clusture_31,clusture_32,clusture_33,clusture_34,clusture_37,clusture_39,clusture_40,clusture_41,clusture_45,clusture_46,clusture_47,clusture_48,clusture_49,clusture_50,clusture_51,clusture_52,clusture_53,clusture_54,clusture_55,clusture_56,clusture_57,clusture_58,clusture_60,clusture_61,clusture_62,clusture_63,clusture_65,clusture_67,clusture_68,clusture_69,clusture_70,clusture_71,clusture_72,clusture_73,clusture_74,clusture_75,clusture_76,clusture_78,clusture_81,clusture_82,clusture_83,clusture_84,clusture_85,clusture_87,clusture_88,clusture_89,clusture_90,clusture_91,clusture_93,clusture_95,clusture_96,clusture_97,clusture_98,clusture_99,clusture_100,clusture_101,clusture_102,clusture_103,clusture_104,clusture_105,clusture_106,clusture_107,clusture_108,clusture_109,clusture_110,clusture_113,clusture_114,clusture_116,clusture_118,clusture_119,clusture_122,clusture_125,clusture_129,clusture_130,clusture_132,clusture_134,clusture_136,clusture_141,clusture_144,clusture_145,clusture_146,clusture_147,clusture_149,clusture_150,clusture_152,clusture_153,clusture_154,clusture_155,clusture_158,clusture_159,clusture_160,clusture_161,clusture_162,clusture_163,clusture_164,clusture_166,clusture_167,clusture_168,clusture_169,clusture_170,clusture_172,clusture_173,clusture_174,clusture_176,clusture_180,clusture_182,clusture_183,clusture_184,clusture_187,clusture_188,clusture_190,clusture_191,clusture_195,clusture_196,clusture_197,clusture_200,clusture_201,clusture_203,clusture_204,clusture_206,clusture_209,clusture_211,clusture_212,clusture_213,clusture_214,clusture_217,clusture_218,clusture_219,clusture_221,clusture_222,clusture_225,clusture_226,clusture_227,clusture_229,clusture_231,clusture_233,clusture_237,clusture_238,clusture_239,clusture_240,clusture_241,clusture_242,clusture_247,clusture_249,clusture_250,clusture_251,clusture_252,clusture_253,clusture_254,clusture_256,clusture_257,clusture_258,clusture_259,clusture_264,clusture_265,clusture_266,clusture_267,clusture_268,clusture_269,clusture_271,clusture_272,clusture_273,clusture_274,clusture_275,clusture_281,clusture_283,clusture_285,clusture_286,clusture_293,clusture_294,clusture_296,clusture_297,clusture_299,clusture_300,clusture_301,clusture_302,clusture_308,clusture_309,clusture_310,clusture_311,clusture_313,clusture_315,clusture_316,clusture_317,clusture_319,clusture_320,clusture_322,clusture_327,clusture_328,clusture_329,clusture_331,clusture_335,clusture_336,clusture_340,clusture_341,clusture_345,clusture_346
14_Her_b,HD_108236_f,51_Peg_b,55_Cnc_b,HD_62364_c,HD_73583_b,HD_145675_c,HD_72659_c,7_CMa_b,GJ_1132_b,EPIC_220674823_c,HD_115404_A_c,HD_73267_c,BD+45_564_b,GJ_1132_b,HD_108236_e,HD_3167_c,CoRoT-10_b,CoRoT-12_b,CoRoT-16_b,HD_108236_f,EPIC_220674823_c,HD_73267_c,HD_207496_b,CoRoT-28_b,CoRoT-29_b,CoRoT-30_b,CoRoT-31_b,CoRoT-5_b,HD_55696_b,HD_55696_b,CoRoT-9_b,EPIC_211945201_b,HD_55696_b,HD_89839_b,HD_55696_b,GJ_1252_b,HD_114082_b,GJ_179_b,GJ_2030_c,HD_55696_b,GJ_317_b,GJ_3470_b,HD_145675_c,HD_145675_c,HATS-24_b,HD_115404_A_c,HD_15337_b,HATS-24_b,GJ_676_A_b,HATS-5_b,GJ_832_b,HD_219134_b,GJ_876_c,HD_73267_c,GJ_9714_b,HAT-P-1_b,HD_115404_A_c,HAT-P-11_c,HAT-P-12_b,HAT-P-13_b,HD_108236_e,HD_108236_b,HD_108236_e,HAT-P-17_b,HAT-P-19_b,HD_73583_b,HAT-P-22_b,HAT-P-23_b,HAT-P-24_b,HAT-P-25_b,HAT-P-27_b,HAT-P-28_b,HAT-P-29_b,HAT-P-3_b,HAT-P-30_b,HAT-P-32_b,HD_207496_b,GJ_1132_b,HAT-P-36_b,GJ_1132_b,HAT-P-38_b,HAT-P-4_b,HAT-P-44_b,HAT-P-45_b,HAT-P-46_b,HAT-P-49_b,HAT-P-6_b,HAT-P-7_b,HAT-P-8_b,HAT-P-9_b,HATS-1_b,HATS-2_b,HATS-3_b,HATS-4_b,HATS-43_b,HATS-59_b,HD_100777_b,HD_204313_e,HD_10180_h,G_9-40_b,HD_55696_b,HD_108236_e,HD_15337_c,HD_55696_b,G_9-40_b,HATS-5_b,G_9-40_b,HD_108236_e,HD_111232_c,HD_73583_b,HD_113337_c,HD_114783_c,HD_15337_b,HD_108236_e,G_9-40_b,HD_108236_b,HD_108236_b,HD_118203_c,HD_108236_e,HD_15337_b,HD_124330_b,HD_108236_e,HD_125612_d,HD_126614_b,HD_128311_b,HD_73583_b,HD_129445_b,EPIC_211822797_b,HD_108236_e,HD_15337_b,HD_55696_b,HD_1397_b,HD_108236_f,G_9-40_b,HD_108236_e,HD_145934_b,HD_149026_b,HD_108236_d,HD_73583_b,HD_23472_c,HD_15337_b,HD_155193_b,HD_108236_e,HD_55696_b,HD_73583_b,G_9-40_b,HD_108236_e,HD_15337_b,HD_3167_c,HD_108236_e,HD_15337_b,HD_108236_e,HD_108236_e,HD_3167_c,HD_18143_c,HD_183579_b,HD_185283_b,HD_260655_c,HD_3167_c,HD_110113_b,HD_15337_b,HD_191939_c,HD_191939_e,HD_108236_e,HD_196067_b,HD_15337_b,HD_202696_b,GJ_1132_b,HD_202772_A_b,G_9-40_b,HD_207897_b,HD_20794_b,HD_20794_c,HD_20794_d,HD_209458_b,HD_108236_e,HD_215497_c,HD_73583_b,HD_3167_c,HD_217958_b,GJ_1132_b,HD_221416_b,HD_108236_e,HD_222155_b,HD_73583_b,HD_55696_b,HD_140901_c,HD_140901_c,HD_140901_c,HD_235088_b,HD_23596_b,HD_108236_b,HD_27894_d,HD_73583_b,HD_3167_c,HD_331093_b,HD_153557_d,G_9-40_b,HD_42813_b,HD_44219_b,HATS-5_b,HD_50554_b,HD_55696_b,HD_63433_b,HD_63433_c,HD_63935_b,HD_63935_c,HD_66428_c,HD_207496_b,HD_73583_b,HD_72659_b,G_9-40_b,HD_73267_b,HD_73267_c,G_9-40_b,HD_145675_c,HD_73583_b,HD_3167_c,HD_110113_b,HD_82943_c,G_9-40_b,HD_73583_b,HD_89307_b,HD_168443_c
G_9-40_b,HD_219134_b,,,55_Cnc_c,HD_207496_b,HD_175167_b,55_Cnc_f,,7_CMa_c,AF_Lep_b,HD_7449_b,HD_62549_b,HD_260655_b,BD+55_362_b,HD_136352_d,EPIC_220674823_c,,,,HD_219134_b,HD_86226_c,CoRoT-22_b,HD_110113_b,,,HD_86226_c,,,HD_103891_b,HD_103891_b,,,HD_132406_b,HD_10697_b,HD_132406_b,,HD_204313_e,,HD_3167_c,HD_103891_b,HD_260655_b,HD_145675_c,HD_175167_b,GJ_896_A_b,GJ_3929_b,HD_7449_b,HD_108236_f,GJ_486_b,G_9-40_b,HD_108236_e,,HD_108236_f,,HD_62549_b,HD_3167_c,,HD_168443_c,GJ_1132_b,HD_125390_b,GJ_1132_b,HD_136352_d,HAT-P-15_b,HD_15906_c,,,HAT-P-21_b,,,GJ_1132_b,,,,,,GJ_1132_b,,HD_73583_c,HAT-P-35_b,,HAT-P-37_b,,,,GJ_1132_b,,HD_108236_f,GJ_1132_b,,GJ_1132_b,,EPIC_211822797_b,,GJ_1132_b,HD_260655_c,,GJ_1132_b,GJ_1132_b,HD_206893_b,HD_206893_b,HD_10180_g,HD_132406_b,HD_136352_d,HD_108202_b,HD_103891_b,HD_10180_g,HD_108236_e,HD_10180_g,HD_136352_d,G_9-40_b,HD_207496_b,G_9-40_b,GJ_1132_b,HD_108236_f,HD_136352_d,HD_10180_g,HD_117207_b,HD_118203_b,HD_108236_e,HD_136352_d,HD_12235_c,,HD_136352_d,HD_15337_b,,EPIC_211822797_b,HD_207496_b,,HD_135625_b,HD_136352_d,HD_108236_f,HD_132406_b,,HD_219134_b,HD_142_c,HD_136352_d,,,HD_136352_b,HD_207496_b,HD_154345_b,HD_108236_f,,HD_136352_d,HD_103891_b,HD_207496_b,HD_160691_c,HD_136352_d,HD_108236_f,HD_192310_b,HD_136352_d,HD_108236_f,HD_136352_d,HD_18015_b,HD_181234_b,G_9-40_b,,HD_260655_b,HD_189733_b,HD_190228_b,HD_191939_d,HD_108236_f,,,HD_136352_d,HD_108236_e,HD_108236_f,,HD_202696_c,GJ_1132_b,HD_10180_g,,,,,,HD_136352_d,,HD_207496_b,HD_217786_b,,HD_220689_b,HD_188641_b,HD_136352_d,GJ_1132_b,HD_224538_b,HD_103891_b,HD_1397_b,HD_1397_b,HD_1397_b,,HD_108236_e,HD_2685_b,G_9-40_b,HD_207496_b,HD_29021_b,HD_108236_b,HD_332231_b,HD_10180_g,,,HD_108236_e,G_9-40_b,HD_103891_b,,,,,GJ_1132_b,HD_110113_b,HD_207496_b,HD_86226_c,HD_10180_g,HD_3167_c,HD_62549_b,HD_15337_c,HD_175167_b,HD_207496_b,HD_80883_b,HD_82943_b,,HD_10180_g,HD_207496_b,EPIC_211822797_b,HD_89345_b
HD_10180_g,51_Eri_b,,,DENIS-P_J082303.1-491201_b,HD_73583_c,HD_93351_c,HD_214823_b,,,HD_86226_c,HD_203387_c,GJ_676_A_c,,,HD_15906_c,HD_86226_c,,,,CoRoT-17_b,CoRoT-2_b,HD_62549_b,HD_260655_c,,,GJ_1132_b,,,HD_132406_b,HD_132406_b,,,HD_143361_b,HD_114082_b,HD_143361_b,,HD_206893_b,,HD_192310_c,HD_132406_b,,HD_175167_b,HD_93351_c,HD_183263_c,,HD_203387_c,HD_23472_c,,HD_15337_c,HD_136352_d,,GJ_876_b,,GJ_676_A_c,HD_192310_c,,HD_219077_b,,,,HD_15906_c,HD_136352_b,HD_108236_d,,,HD_207496_b,,,,,,,,,,,HD_110113_b,,,,,,,,,HD_219134_b,,,,,,,,,,,,HD_115954_b,HD_105618_c,HD_18599_b,HD_143361_b,HD_15906_c,EPIC_211822797_b,HD_132406_b,HD_18599_b,HD_136352_d,HD_11112_b,HD_15906_c,HD_10180_g,HD_73583_c,HD_10180_g,,HD_23472_c,HD_15906_c,HD_15337_c,HD_136352_b,HD_136352_b,HD_136352_d,HD_15906_c,HD_108236_f,,HD_15906_c,HD_108236_f,,,HD_73583_c,,,HD_15906_c,HD_23472_c,HD_143361_b,,HD_23472_c,HD_10180_g,HD_142022_A_b,,,HD_108236_b,HD_73583_c,,HD_154391_b,,HD_15906_c,HD_132406_b,HD_73583_c,HD_15337_c,HD_15906_c,HD_23472_c,EPIC_220674823_c,HD_15906_c,HD_23472_c,HD_15906_c,HD_136352_d,HD_192310_c,HD_10180_g,,,,EPIC_220674823_c,HD_190360_b,HD_23472_c,,,HD_15906_c,HD_136352_d,HD_23472_c,,,,HD_18599_b,,,,,,HD_15906_c,,HD_73583_c,HD_192310_c,,,HD_80913_b,HD_15906_c,,HD_207496_b,HD_132406_b,HD_154391_b,HD_154391_b,HD_154391_b,,HD_136352_d,,HD_15337_c,HD_73583_c,EPIC_220674823_c,,,HD_18599_b,,,HD_136352_d,HD_15337_c,HD_132406_b,,,,,,HD_69123_b,HD_73583_c,EPIC_220674823_c,HD_18599_b,EPIC_220674823_c,GJ_676_A_c,HD_10180_c,HD_93351_c,HD_73583_c,EPIC_220674823_c,HD_191939_d,,HD_18599_b,HD_73583_c,,HD_149806_b
HD_18599_b,HD_23472_c,,,HD_26161_b,HD_110113_b,55_Cnc_e,,,,GJ_1132_b,HD_168443_c,AU_Mic_c,,,HD_108236_d,BD-210397_c,,,,,GJ_1132_b,GJ_676_A_c,HD_219134_c,,,,,,HD_143361_b,HD_143361_b,,,HD_28185_c,HD_204313_e,HD_28185_c,,HD_115954_b,,HD_192310_b,HD_143361_b,,HD_93351_c,BD-14_3065_b,BD+45_564_b,,HD_168443_c,HD_219134_b,,HD_10180_c,HD_15906_c,,HD_23472_c,,HD_188641_b,HD_192310_b,,HD_149806_b,,,,HD_108236_d,,HD_110082_b,,,HD_73583_c,,,,,,,,,,,HAT-P-34_b,,,,,,,,,,,,,,,,,,,,,HD_10180_e,,HD_15337_c,HD_28185_c,HD_108236_d,GJ_1214_b,HD_143361_b,HD_15337_c,HD_15906_c,HD_18599_b,HD_108236_d,HD_18599_b,HD_110113_b,HD_18599_b,,HD_11505_b,HD_108236_d,HD_10180_c,,,HD_15906_c,HD_108236_d,HD_23472_c,,HD_108236_d,HD_23472_c,,,HD_128311_c,,,HD_108236_d,HD_219134_b,HD_28185_c,,HD_140901_c,HD_18599_b,HD_15906_c,,,HD_150706_b,HD_110113_b,,HD_23472_c,,HD_108236_d,HD_15906_b,HD_110113_b,HD_10180_c,HD_108236_d,HD_219134_b,HD_86226_c,HD_16905_b,HD_219134_b,HD_108236_d,HD_15906_c,HD_192310_b,HD_18599_b,,,,HD_86226_c,HD_260655_c,HD_219134_b,,,HD_108236_d,HD_15906_c,HD_202206_c,,,,HD_15337_c,,,,,,HD_108236_d,,HD_110113_b,HD_192310_b,,,BD-00_4475_b,HD_108236_d,,HD_73583_c,HD_143361_b,HD_11505_b,HD_11505_b,HD_11505_b,,HD_15906_c,,HD_10180_c,HD_110113_b,HD_86226_c,,,HD_15337_c,,,HD_15906_c,HD_10180_c,HD_143361_b,,,,,,HD_191939_d,HD_110113_b,GJ_1132_b,HD_15337_c,HD_86226_c,HD_188641_b,GJ_1214_b,BD-14_3065_b,HD_110113_b,HD_86226_c,HD_260655_c,,HD_15337_c,HD_110113_b,,HD_153557_d
HD_15337_c,,,,,55_Cnc_d,BD-14_3065_b,,,,,AU_Mic_b,HD_188641_b,,,HD_110082_b,GJ_1132_b,,,,,,HD_188641_b,CoRoT-23_b,,,,,,HD_28185_c,HD_28185_c,,,HD_139357_b,HD_206893_b,HD_139357_b,,HD_28185_c,,EPIC_220674823_c,HD_28185_c,,BD-14_3065_b,HD_183263_c,HATS-22_b,,GJ_436_b,GJ_463_b,,GJ_1214_b,HD_108236_d,,,,HD_80913_b,EPIC_220674823_c,,HD_153557_d,,,,HAT-P-14_b,,HD_136352_b,,,HD_110113_b,,,,,,,,,,,HD_260655_c,,,,,,,,,,,,,,,,,,,,,HD_28185_c,,HD_10180_c,HD_139357_b,HD_110082_b,,HD_28185_c,HD_109988_b,HD_108236_d,HD_15337_c,HD_111232_b,HD_15337_c,HD_191939_d,HD_15337_c,,HD_219134_b,HD_110082_b,GJ_1214_b,,,HD_108236_d,HD_110082_b,HD_219134_b,,HD_110082_b,HD_219134_b,,,HD_110113_b,,,HD_110082_b,HD_136118_b,HD_139357_b,,,HD_15337_c,HD_108236_d,,,GJ_876_d,HD_151450_c,,HD_219134_b,,HD_156279_c,HD_143361_b,HD_160691_b,GJ_1214_b,HD_110082_b,HD_167677_b,GJ_1132_b,HD_108236_d,HD_169830_c,HD_110082_b,HD_108236_d,EPIC_220674823_c,HD_15337_c,,,,GJ_1132_b,HD_219134_c,HD_191806_b,,,HD_110082_b,HD_108236_d,HD_219134_b,,,,HD_10180_c,,,,,,HD_110082_b,,HD_191939_d,EPIC_220674823_c,,,,HD_221420_b,,HD_110113_b,HD_28185_c,GJ_876_b,GJ_876_b,GJ_876_b,,HD_108236_d,,GJ_1214_b,HD_28254_b,GJ_1132_b,,,HD_39091_b,,,HD_108236_d,GJ_1214_b,HD_28185_c,,,,,,HD_260655_c,HD_191939_d,,HD_10180_c,GJ_1132_b,HD_166724_b,EPIC_211822797_b,HD_77946_b,HD_260655_c,GJ_1132_b,HD_219134_c,,HD_10180_c,HD_87883_b,,HD_165131_b
HD_10180_c,,,,,HD_191939_d,HD_183263_c,,,,,HD_219077_b,HD_166724_b,,,HD_106315_c,,,,,,,HD_80913_b,,,,,,,HD_139357_b,HD_139357_b,,,HD_89839_b,HD_115954_b,HD_89839_b,,GJ_143_b,,HD_86226_c,HD_139357_b,,HD_183263_c,GJ_3634_b,HD_81040_b,,HD_219077_b,,,EPIC_211822797_b,HD_110082_b,,,,BD-00_4475_b,HD_86226_c,,HD_106252_b,,,,HD_110082_b,,HD_108236_b,,,HD_260655_c,,,,,,,,,,,HD_219134_c,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,GJ_1214_b,HD_89839_b,HD_106315_c,,HD_139357_b,GJ_1214_b,HD_110082_b,HD_10180_c,HD_110082_b,HD_10180_c,HD_112570_b,HD_10180_c,,,HD_136352_b,HD_11506_d,,,HD_110082_b,HD_120084_b,,,HD_125271_b,,,,HD_191939_d,,,HD_106315_c,,HD_89839_b,,,HD_10180_c,HD_110082_b,,,,HD_191939_d,,,,HD_110082_b,HD_139357_b,HD_191939_d,EPIC_211822797_b,HD_16175_b,,HD_168863_b,HD_110082_b,,HD_171238_b,HD_136352_b,HD_86226_c,HD_10180_c,,,,,,,,,HD_136352_b,HD_110082_b,,,,,GJ_1214_b,,,,,,HD_106315_c,,HD_260655_c,HD_86226_c,,,,HD_110082_b,,HD_191939_d,HD_139357_b,HAT-P-49_b,HAT-P-49_b,HAT-P-49_b,,HD_110082_b,,EPIC_211822797_b,HD_260655_c,,,,HD_10180_c,,,HD_110082_b,EPIC_211822797_b,HD_139357_b,,,,,,HD_219134_c,HD_260655_c,,GJ_1214_b,,BD-00_4475_b,HD_10180_d,HD_183263_c,HD_80606_b,,,,GJ_1214_b,HD_191939_d,,HD_81817_b
GJ_1214_b,,,,,HD_260655_c,HD_190984_b,,,,,HD_149806_b,BD-00_4475_b,,,BD+63_1405_b,,,,,,,BD-00_4475_b,,,,,,,HD_89839_b,HD_89839_b,,,EPIC_249893012_b,HD_30177_c,HD_111998_b,,HD_105618_c,,GJ_1132_b,HD_89839_b,,HD_81040_b,HD_190984_b,HD_68402_b,,HD_149806_b,,,HD_10180_d,GJ_680_b,,,,HD_160691_e,GJ_1132_b,,HAT-P-11_b,,,,HD_136352_b,,GJ_876_d,,,HD_219134_c,,,,,,,,,,,HD_191939_b,,,,,,,,,,,,,,,,,,,,,HD_66428_b,,HAT-P-26_b,HD_111998_b,HD_136352_b,,HD_89839_b,HD_10180_c,HD_106315_c,GJ_1214_b,HD_106315_c,GJ_1214_b,HD_260655_c,GJ_1214_b,,,HD_11506_b,HAT-P-26_b,,,HD_106315_c,HD_106315_c,,,HD_106315_c,,,,HD_260655_c,,,HD_135872_b,,HD_111998_b,,,GJ_1214_b,HD_136352_b,,,,HD_260655_c,,,,HD_106315_c,HD_28185_c,HD_260655_c,HD_10180_d,HD_106315_c,,,HD_106315_c,,HD_106315_c,HD_108236_b,GJ_1132_b,GJ_1214_b,,,,,,,,,HD_108236_b,HD_106315_c,,,,,HAT-P-26_b,,,,,,HD_213240_b,,HD_219134_c,GJ_1132_b,,,,HD_106315_c,,HD_260655_c,HD_89839_b,51_Eri_b,51_Eri_b,51_Eri_b,,HD_106315_c,,HD_10180_d,HD_219134_c,,,,GJ_1214_b,,,HD_106315_c,HD_10180_d,HD_5278_b,,,,,,,HD_219134_c,,HAT-P-26_b,,HD_160691_e,HD_75302_b,HD_81040_b,HD_191939_b,,,,HAT-P-26_b,HD_260655_c,,
HAT-P-26_b,,,,,HD_219134_c,HATS-22_b,,,,,HD_153557_d,HD_160691_e,,,HD_136352_b,,,,,,,HD_160691_e,,,,,,,HD_32963_b,HD_111998_b,,,HD_111998_b,EPIC_249893012_c,HD_17156_b,,HD_139357_b,,,HD_32963_b,,HD_204313_b,HD_81040_b,HD_93351_c,,HD_153557_d,,,,HD_106315_c,,,,HD_194490_b,,,HD_86264_b,,,,HD_108236_b,,HAT-P-16_b,,,HD_191939_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_139357_b,,EPIC_211822797_b,HD_114082_b,HD_108236_b,,HD_32963_b,HAT-P-26_b,HD_110537_b,HAT-P-26_b,HD_136352_b,HAT-P-26_b,HD_219134_c,HAT-P-26_b,,,HD_108236_b,EPIC_211822797_b,,,HD_136352_b,HD_136352_b,,,HD_136352_b,,,,HD_219134_c,,,HD_136352_b,,HD_114082_b,,,HAT-P-26_b,HD_108236_b,,,,HD_219134_c,,,,HD_136352_b,HD_89839_b,HD_219134_c,,HD_136352_b,,,HD_136352_b,,HD_136352_b,GJ_876_d,,HAT-P-26_b,,,,,,,,,HD_196050_b,HD_136352_b,,,,,EPIC_211822797_b,,,,,,HD_136352_b,,HD_216437_b,,,,,HD_136352_b,,HD_219134_c,HD_111998_b,HD_209458_b,HD_209458_b,HD_209458_b,,HD_136352_b,,,HD_191939_b,,,,HAT-P-26_b,,,HD_136352_b,,HD_89839_b,,,,,,,HD_70642_b,,EPIC_211822797_b,,HD_80913_b,,HD_204313_b,,,,,EPIC_211822797_b,HD_219134_c,,
EPIC_211822797_b,,,,,HD_191939_b,HD_81040_b,,,,,HD_106252_b,HD_80913_b,,,HD_108236_b,,,,,,,HD_194490_b,,,,,,,HD_111998_b,HD_17156_b,,,HD_17156_b,HD_132406_b,HD_114082_b,,HD_66428_b,,,HD_111998_b,,DENIS-P_J082303.1-491201_b,HD_204313_b,HD_190984_b,,HD_106252_b,,,,HD_136352_b,,,,HD_156098_c,,,HD_165131_b,,,,GJ_876_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,,HD_106270_b,HD_204313_e,HD_106515_A_b,,HD_111998_b,EPIC_211822797_b,HD_136352_b,EPIC_211822797_b,HD_108236_b,EPIC_211822797_b,HD_191939_b,EPIC_211822797_b,,,GJ_876_d,HD_10180_d,,,HD_108236_b,HD_108236_b,,,HD_108236_b,,,,HD_191939_b,,,HD_108236_b,,HD_204313_e,,,EPIC_211822797_b,GJ_876_d,,,,HD_191939_b,,,,HD_108236_b,HD_32963_b,HD_191939_b,,HD_108236_b,,,HD_108236_b,,HD_108236_b,,,EPIC_211822797_b,,,,,,,,,GJ_876_d,HD_108236_b,,,,,HD_10180_f,,,,,,HD_108236_b,,HD_191939_b,,,,,HD_108236_b,,HD_191939_b,HD_17156_b,CoRoT-17_b,CoRoT-17_b,CoRoT-17_b,,HD_108236_b,,,,,,,EPIC_211822797_b,,,HD_108236_b,,HD_111998_b,,,,,,,HD_191939_b,,HD_73256_c,,HD_194490_b,,CoRoT-20_b,,,,,HD_10180_f,HD_191939_b,,
HD_10180_f,,,,,,HD_204313_b,,,,,HD_86264_b,HD_194490_b,,,GJ_876_d,,,,,,,HD_156098_c,,,,,,,HD_17156_b,HD_114082_b,,,HD_114082_b,HD_105618_c,HD_204313_e,,HD_219828_c,,,HD_17156_b,,HD_80869_b,CoRoT-20_b,HD_13931_b,,HD_86264_b,,,,HD_108236_b,,,,HATS-41_b,,,HD_81817_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,,HD_10180_d,HD_206893_b,GJ_876_d,,HD_17156_b,HD_10180_f,HD_108236_b,HD_10180_f,GJ_876_d,HD_10180_f,,HD_10180_f,,,,,,,GJ_876_d,GJ_876_d,,,GJ_876_d,,,,,,,GJ_876_d,,HD_206893_b,,,HD_10180_f,,,,,,,,,GJ_876_d,HD_111998_b,,,GJ_876_d,,,GJ_876_d,,GJ_876_d,,,HD_10180_f,,,,,,,,,,GJ_876_d,,,,,HD_10180_d,,,,,,GJ_876_d,,,,,,,GJ_876_d,,HD_88986_b,HD_114082_b,HD_30562_b,HD_23472_e,HD_30562_b,,GJ_876_d,,,,,,,HD_10180_f,,,HD_457_b,,HD_17156_b,,,,,,,,,HD_10180_d,,HD_156098_c,,DENIS-P_J082303.1-491201_b,,,,,HD_10180_d,,,
